CO_MUNICIPIO,BOVINO,ANO
1100015,276377,2001
1100023,324368,2001
1100031,120445,2001
1100049,245121,2001
1100056,97959,2001
1100064,133636,2001
1100072,257075,2001
1100080,38394,2001
1100098,271173,2001
1100106,71088,2001
1100114,257447,2001
1100122,305988,2001
1100130,75861,2001
1100148,97894,2001
1100155,178438,2001
1100189,209571,2001
1100205,277321,2001
1100254,159124,2001
1100262,92825,2001
1100288,129359,2001
1100296,104588,2001
1100304,101494,2001
1100320,102385,2001
1100338,112491,2001
1100346,162205,2001
1100379,76257,2001
1100403,74573,2001
1100452,106226,2001
1100502,69429,2001
1100601,139595,2001
1100700,68740,2001
1100809,95188,2001
1100908,81764,2001
1100924,310711,2001
1100940,43775,2001
1101005,126592,2001
1101104,45953,2001
1101203,69840,2001
1101302,64307,2001
1101401,126049,2001
1101435,72636,2001
1101450,76782,2001
1101468,86533,2001
1101476,53919,2001
1101484,45475,2001
1101492,117870,2001
1101500,47430,2001
1101559,40360,2001
1101609,160412,2001
1101708,68538,2001
1101757,47874,2001
1101807,85579,2001
1200013,99602,2001
1200054,13630,2001
1200104,111055,2001
1200138,134935,2001
1200179,74769,2001
1200203,50838,2001
1200252,33808,2001
1200302,56430,2001
1200328,2977,2001
1200336,6867,2001
1200344,12826,2001
1200351,4256,2001
1200385,132057,2001
1200393,3986,2001
1200401,329589,2001
1200427,12684,2001
1200435,1710,2001
1200450,155852,2001
1200500,134589,2001
1200609,74502,2001
1200708,131651,2001
1200807,93985,2001
1300029,3750,2001
1300060,588,2001
1300086,1096,2001
1300102,1408,2001
1300144,33888,2001
1300201,,2001
1300300,52206,2001
1300409,240,2001
1300508,28377,2001
1300607,2878,2001
1300631,622,2001
1300680,11402,2001
1300706,103797,2001
1300805,1848,2001
1300839,885,2001
1300904,13846,2001
1301001,4209,2001
1301100,17385,2001
1301159,70788,2001
1301209,2583,2001
1301308,2751,2001
1301407,10600,2001
1301506,11077,2001
1301605,2903,2001
1301654,28511,2001
1301704,14238,2001
1301803,5632,2001
1301852,9229,2001
1301902,60927,2001
1301951,700,2001
1302009,9303,2001
1302108,,2001
1302207,760,2001
1302306,1301,2001
1302405,6343,2001
1302504,22442,2001
1302553,23317,2001
1302603,8115,2001
1302702,10898,2001
1302801,169,2001
1302900,8202,2001
1303007,33419,2001
1303106,5339,2001
1303205,1102,2001
1303304,15600,2001
1303403,101994,2001
1303502,6427,2001
1303536,6147,2001
1303569,5674,2001
1303601,279,2001
1303700,947,2001
1303809,803,2001
1303908,1468,2001
1303957,1899,2001
1304005,21722,2001
1304062,2410,2001
1304104,1531,2001
1304203,1603,2001
1304237,1852,2001
1304260,436,2001
1304302,35684,2001
1304401,28186,2001
1400027,50000,2001
1400050,52000,2001
1400100,35000,2001
1400159,60000,2001
1400175,35000,2001
1400209,32000,2001
1400233,28000,2001
1400282,23000,2001
1400308,21000,2001
1400407,7000,2001
1400456,20000,2001
1400472,35000,2001
1400506,20000,2001
1400605,18000,2001
1400704,2000,2001
1500107,4000,2001
1500131,54264,2001
1500206,27600,2001
1500305,3820,2001
1500347,536803,2001
1500404,99778,2001
1500503,18728,2001
1500602,203066,2001
1500701,605,2001
1500800,1442,2001
1500859,83407,2001
1500909,5300,2001
1500958,60070,2001
1501006,15000,2001
1501105,350,2001
1501204,32565,2001
1501253,191673,2001
1501303,2000,2001
1501402,187,2001
1501451,11200,2001
1501501,5100,2001
1501576,125120,2001
1501600,8950,2001
1501709,26000,2001
1501725,196187,2001
1501758,66900,2001
1501782,9240,2001
1501808,2303,2001
1501907,11400,2001
1501956,14500,2001
1502004,56380,2001
1502103,1540,2001
1502152,181000,2001
1502202,15425,2001
1502301,48760,2001
1502400,30000,2001
1502509,127920,2001
1502608,300,2001
1502707,285198,2001
1502756,22387,2001
1502764,197062,2001
1502772,141000,2001
1502806,100,2001
1502855,13395,2001
1502905,2257,2001
1502939,87675,2001
1502954,88600,2001
1503002,3306,2001
1503044,123350,2001
1503077,18700,2001
1503093,70000,2001
1503101,2950,2001
1503200,13400,2001
1503309,2800,2001
1503408,11000,2001
1503457,88050,2001
1503507,45000,2001
1503606,140000,2001
1503705,98500,2001
1503754,25000,2001
1503804,51700,2001
1503903,46575,2001
1504000,4,2001
1504059,51564,2001
1504109,200,2001
1504208,196500,2001
1504307,700,2001
1504406,4346,2001
1504422,830,2001
1504455,70323,2001
1504505,2154,2001
1504604,627,2001
1504703,30000,2001
1504752,,2001
1504802,106761,2001
1504901,10350,2001
1504950,3800,2001
1504976,27200,2001
1505007,7800,2001
1505031,185000,2001
1505064,144650,2001
1505106,100681,2001
1505205,1900,2001
1505304,78638,2001
1505403,13000,2001
1505437,188993,2001
1505486,138319,2001
1505494,28700,2001
1505502,381521,2001
1505536,48900,2001
1505551,104126,2001
1505601,7200,2001
1505635,269403,2001
1505650,62000,2001
1505700,40300,2001
1505809,14200,2001
1505908,12850,2001
1506005,63861,2001
1506104,2330,2001
1506112,650,2001
1506138,260112,2001
1506161,253349,2001
1506187,234090,2001
1506195,50000,2001
1506203,550,2001
1506302,16830,2001
1506351,2820,2001
1506401,35800,2001
1506500,12500,2001
1506559,27300,2001
1506583,354516,2001
1506609,7020,2001
1506708,332921,2001
1506807,100000,2001
1506906,2700,2001
1507003,5450,2001
1507102,5800,2001
1507151,52500,2001
1507201,15805,2001
1507300,1030019,2001
1507409,8400,2001
1507458,185000,2001
1507466,1300,2001
1507474,850,2001
1507508,29500,2001
1507607,21500,2001
1507706,,2001
1507755,176641,2001
1507805,21385,2001
1507904,65750,2001
1507953,62000,2001
1507961,3466,2001
1507979,47772,2001
1508001,150000,2001
1508035,7560,2001
1508050,25000,2001
1508084,341604,2001
1508100,46400,2001
1508126,85100,2001
1508159,125207,2001
1508209,3000,2001
1508308,34800,2001
1508357,166720,2001
1508407,380686,2001
1600055,466,2001
1600105,26504,2001
1600154,698,2001
1600204,3658,2001
1600212,8930,2001
1600238,2115,2001
1600253,2183,2001
1600279,1680,2001
1600303,16170,2001
1600402,1475,2001
1600501,2587,2001
1600535,612,2001
1600550,6188,2001
1600600,5073,2001
1600709,7048,2001
1600808,1810,2001
1700251,31000,2001
1700301,12500,2001
1700350,42800,2001
1700400,31000,2001
1700707,58200,2001
1701002,120000,2001
1701051,13550,2001
1701101,24491,2001
1701309,60600,2001
1701903,66300,2001
1702000,211700,2001
1702109,212400,2001
1702158,800,2001
1702208,88543,2001
1702307,138000,2001
1702406,130550,2001
1702554,38849,2001
1702703,29400,2001
1702901,30087,2001
1703008,38200,2001
1703057,130000,2001
1703073,15900,2001
1703107,58000,2001
1703206,152000,2001
1703305,15600,2001
1703602,26000,2001
1703701,59044,2001
1703800,30366,2001
1703826,8415,2001
1703842,8000,2001
1703867,45100,2001
1703883,34500,2001
1703891,9639,2001
1703909,36000,2001
1704105,10500,2001
1704600,25000,2001
1705102,24100,2001
1705508,116000,2001
1705557,15900,2001
1705607,25500,2001
1706001,38000,2001
1706100,71910,2001
1706258,34500,2001
1706506,19000,2001
1707009,32170,2001
1707108,70000,2001
1707207,119500,2001
1707306,92200,2001
1707405,13252,2001
1707553,17316,2001
1707652,82300,2001
1707702,50000,2001
1708205,188800,2001
1708254,28470,2001
1708304,71000,2001
1709005,27000,2001
1709302,95000,2001
1709500,84200,2001
1709807,15995,2001
1710508,46000,2001
1710706,30288,2001
1710904,34000,2001
1711100,103000,2001
1711506,50350,2001
1711803,25000,2001
1711902,84423,2001
1711951,7776,2001
1712009,5100,2001
1712157,11050,2001
1712405,14000,2001
1712454,9092,2001
1712504,82000,2001
1712702,4092,2001
1712801,11692,2001
1713205,87800,2001
1713304,65000,2001
1713601,68861,2001
1713700,39100,2001
1713809,26213,2001
1713957,70000,2001
1714203,35000,2001
1714302,19307,2001
1714880,66000,2001
1715002,21691,2001
1715101,6687,2001
1715150,13000,2001
1715259,8540,2001
1715507,10532,2001
1715705,35000,2001
1715754,61700,2001
1716109,83200,2001
1716208,109000,2001
1716307,69000,2001
1716505,17000,2001
1716604,137300,2001
1716653,89000,2001
1716703,46000,2001
1717008,30556,2001
1717206,83200,2001
1717503,128991,2001
1717800,20000,2001
1717909,46026,2001
1718006,5000,2001
1718204,104867,2001
1718303,5482,2001
1718402,36000,2001
1718451,16533,2001
1718501,16000,2001
1718550,27000,2001
1718659,1610,2001
1718709,14000,2001
1718758,24000,2001
1718808,7873,2001
1718840,93000,2001
1718865,128500,2001
1718881,18000,2001
1718899,62623,2001
1718907,27133,2001
1719004,15318,2001
1720002,9846,2001
1720101,15570,2001
1720150,3763,2001
1720200,15637,2001
1720259,17000,2001
1720309,5707,2001
1720499,38200,2001
1720655,37156,2001
1720804,31674,2001
1720853,48800,2001
1720903,70000,2001
1720937,13000,2001
1720978,70500,2001
1721000,33100,2001
1721109,15700,2001
1721208,24847,2001
1721257,5000,2001
1721307,7500,2001
1722081,35500,2001
1722107,82500,2001
2100055,363021,2001
2100105,3330,2001
2100154,2600,2001
2100204,2514,2001
2100303,9328,2001
2100402,24890,2001
2100436,20027,2001
2100477,26693,2001
2100501,27287,2001
2100550,5198,2001
2100600,82349,2001
2100709,31416,2001
2100808,2980,2001
2100832,1315,2001
2100873,42960,2001
2100907,13770,2001
2100956,59187,2001
2101004,26499,2001
2101103,173,2001
2101202,58242,2001
2101251,4409,2001
2101301,1454,2001
2101350,8067,2001
2101400,49300,2001
2101509,8529,2001
2101608,44928,2001
2101707,4439,2001
2101731,1438,2001
2101772,9723,2001
2101806,7730,2001
2101905,17716,2001
2101939,24317,2001
2101970,9653,2001
2102002,72984,2001
2102036,38491,2001
2102077,33658,2001
2102101,7407,2001
2102150,11774,2001
2102200,13845,2001
2102309,21761,2001
2102325,38479,2001
2102358,27066,2001
2102374,863,2001
2102408,2070,2001
2102507,11603,2001
2102556,30287,2001
2102606,13881,2001
2102705,6232,2001
2102754,30954,2001
2102804,54712,2001
2102903,5257,2001
2103000,27026,2001
2103109,766,2001
2103125,3019,2001
2103158,7504,2001
2103174,8409,2001
