CO_MUNICIPIO,ANO,POPULACAO
1100015,2001,26919
1100023,2001,76371
1100031,2001,7501
1100049,2001,73996
1100056,2001,18012
1100064,2001,21421
1100072,2001,10290
1100080,2001,10679
1100098,2001,25985
1100106,2001,38679
1100114,2001,53150
1100122,2001,107869
1100130,2001,23873
1100148,2001,17216
1100155,2001,40836
1100189,2001,31685
1100205,2001,342264
1100254,2001,26164
1100262,2001,3054
1100288,2001,47693
1100296,2001,11512
1100304,2001,55513
1100320,2001,25065
1100338,2001,15692
1100346,2001,19770
1100379,2001,13153
1100403,2001,13693
1100452,2001,28132
1100502,2001,12367
1100601,2001,5355
1100700,2001,12633
1100809,2001,13816
1100908,2001,4189
1100924,2001,5701
1100940,2001,6976
1101005,2001,14497
1101104,2001,7127
1101203,2001,11321
1101302,2001,13306
1101401,2001,13217
1101435,2001,8438
1101450,2001,3545
1101468,2001,2544
1101476,2001,4325
1101484,2001,7088
1101492,2001,11963
1101500,2001,12409
1101559,2001,5673
1101609,2001,11651
1101708,2001,15354
1101757,2001,8246
1101807,2001,9958
1200013,2001,8237
1200054,2001,3564
1200104,2001,17384
1200138,2001,6154
1200179,2001,5561
1200203,2001,69772
1200252,2001,11460
1200302,2001,27834
1200328,2001,4490
1200336,2001,11471
1200344,2001,6581
1200351,2001,8321
1200385,2001,15502
1200393,2001,5368
1200401,2001,261430
1200427,2001,8276
1200435,2001,2440
1200450,2001,20330
1200500,2001,30052
1200609,2001,26338
1200708,2001,12111
1200807,2001,11679
1300029,2001,12596
1300060,2001,7573
1300086,2001,6635
1300102,2001,11602
1300144,2001,14866
1300201,2001,9974
1300300,2001,25176
1300409,2001,25728
1300508,2001,23090
1300607,2001,23813
1300631,2001,11475
1300680,2001,11009
1300706,2001,27207
1300805,2001,30043
1300839,2001,9052
1300904,2001,10973
1301001,2001,23919
1301100,2001,26996
1301159,2001,17161
1301209,2001,70608
1301308,2001,17945
1301407,2001,26735
1301506,2001,19490
1301605,2001,33317
1301654,2001,13358
1301704,2001,32045
1301803,2001,15384
1301852,2001,33867
1301902,2001,73349
1301951,2001,8327
1302009,2001,7579
1302108,2001,10230
1302207,2001,7896
1302306,2001,23351
1302405,2001,28425
1302504,2001,75309
1302553,2001,12950
1302603,2001,1451958
1302702,2001,38059
1302801,2001,17679
1302900,2001,41142
1303007,2001,15560
1303106,2001,25020
1303205,2001,9120
1303304,2001,17777
1303403,2001,93883
1303502,2001,17156
1303536,2001,20568
1303569,2001,19739
1303601,2001,9949
1303700,2001,29505
1303809,2001,30787
1303908,2001,24145
1303957,2001,7478
1304005,2001,7972
1304062,2001,38922
1304104,2001,21198
1304203,2001,65697
1304237,2001,16178
1304260,2001,10883
1304302,2001,19240
1304401,2001,11572
1400027,2001,5455
1400050,2001,18706
1400100,2001,208514
1400159,2001,9985
1400175,2001,8922
1400209,2001,14910
1400233,2001,5775
1400282,2001,5027
1400308,2001,11271
1400407,2001,5929
1400456,2001,7229
1400472,2001,18903
1400506,2001,5146
1400605,2001,5550
1400704,2001,5915
1500107,2001,121415
1500131,2001,6145
1500206,2001,53272
1500305,2001,30677
1500347,2001,23236
1500404,2001,41461
1500503,2001,34002
1500602,2001,78760
1500701,2001,18813
1500800,2001,410234
1500859,2001,8908
1500909,2001,33335
1500958,2001,20550
1501006,2001,16119
1501105,2001,13652
1501204,2001,21255
1501253,2001,3703
1501303,2001,65385
1501402,2001,1304314
1501451,2001,15083
1501501,2001,37025
1501576,2001,13191
1501600,2001,9941
1501709,2001,95352
1501725,2001,17930
1501758,2001,7589
1501782,2001,35257
1501808,2001,81458
1501907,2001,21887
1501956,2001,16326
1502004,2001,16094
1502103,2001,99016
1502152,2001,11425
1502202,2001,57840
1502301,2001,50310
1502400,2001,138417
1502509,2001,17593
1502608,2001,10899
1502707,2001,43626
1502756,2001,21813
1502764,2001,5836
1502772,2001,18559
1502806,2001,20529
1502855,2001,9321
1502905,2001,26922
1502939,2001,41278
1502954,2001,31806
1503002,2001,10770
1503044,2001,14462
1503077,2001,24659
1503093,2001,24067
1503101,2001,23589
1503200,2001,32982
1503309,2001,53920
1503408,2001,7796
1503457,2001,27080
1503507,2001,30423
1503606,2001,95006
1503705,2001,52212
1503754,2001,25851
1503804,2001,42164
1503903,2001,32186
1504000,2001,19946
1504059,2001,24882
1504109,2001,7620
1504208,2001,173301
1504307,2001,27880
1504406,2001,25205
1504422,2001,80046
1504455,2001,21636
1504505,2001,21851
1504604,2001,20802
1504703,2001,54484
1504752,2001,
1504802,2001,60832
1504901,2001,25916
1504950,2001,20386
1504976,2001,12277
1505007,2001,11649
1505031,2001,27365
1505064,2001,43449
1505106,2001,47000
1505205,2001,23800
1505304,2001,49246
1505403,2001,14599
1505437,2001,19763
1505486,2001,29126
1505494,2001,7772
1505502,2001,78116
1505536,2001,75524
1505551,2001,7427
1505601,2001,7985
1505635,2001,12907
1505650,2001,13712
1505700,2001,18966
1505809,2001,39018
1505908,2001,23381
1506005,2001,29624
1506104,2001,9799
1506112,2001,11097
1506138,2001,64658
1506161,2001,15931
